sysUpTime agent ifName ifSpeed ifInOctets ifOutOctets ifInDiscards ifInUcastPkts ifInMulticastPkts ifOutDiscards ifOutUcastPkts ifOutMulticastPkts
59000,192.168.85.134,b9eb983466f24_l,10000000000,21575176,13306860,0,14277,0,0,8957,4294967295
59000,192.168.85.134,bb50bfd64c694_l,10000000000,23557408,21591038,0,15588,0,0,14435,4294967295
59000,192.168.85.134,s1,100000000,1956388,10014,2826,1306,0,0,113,4294967295
60000,192.168.85.134,b9eb983466f24_l,10000000000,21575176,13938876,0,14277,0,0,9375,4294967295
60000,192.168.85.134,bb50bfd64c694_l,10000000000,24881920,21591038,0,16464,0,0,14435,4294967295
60000,192.168.85.134,s1,100000000,2582552,10014,2826,1724,0,0,113,4294967295
61000,192.168.85.134,b9eb983466f24_l,10000000000,21575176,14569380,0,14277,0,0,9792,4294967295
61000,192.168.85.134,bb50bfd64c694_l,10000000000,26220040,21591038,0,17349,0,0,14435,4294967295
61000,192.168.85.134,s1,100000000,3207218,10014,2826,2141,0,0,113,4294967295
62000,192.168.85.134,b9eb983466f24_l,10000000000,21575176,15199926,0,14277,0,0,10210,4294967295
62000,192.168.85.134,bb50bfd64c694_l,10000000000,27546064,21591080,0,18226,0,0,14436,4294967295
62000,192.168.85.134,s1,100000000,3831884,10056,2826,2558,0,0,114,4294967295
63000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,15830514,0,14278,0,0,10629,4294967295
63000,192.168.85.134,bb50bfd64c694_l,10000000000,28878178,21591164,0,19108,0,0,14438,4294967295
63000,192.168.85.134,s1,100000000,4305280,10098,2826,2875,0,0,115,4294967295
64000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,16461060,0,14278,0,0,11047,4294967295
64000,192.168.85.134,bb50bfd64c694_l,10000000000,30205714,21591206,0,19986,0,0,14439,4294967295
64000,192.168.85.134,s1,100000000,4305280,10140,2826,2875,0,0,116,4294967295
65000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,17093076,0,14278,0,0,11465,4294967295
65000,192.168.85.134,bb50bfd64c694_l,10000000000,31531738,21591206,0,20863,0,0,14439,4294967295
65000,192.168.85.134,s1,100000000,4305280,10140,2826,2875,0,0,116,4294967295
66000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,17723580,0,14278,0,0,11882,4294967295
66000,192.168.85.134,bb50bfd64c694_l,10000000000,32854738,21591206,0,21738,0,0,14439,4294967295
66000,192.168.85.134,s1,100000000,4305280,10140,2826,2875,0,0,116,4294967295
67000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,18354126,0,14278,0,0,12300,4294967295
67000,192.168.85.134,bb50bfd64c694_l,10000000000,34188322,21591248,0,22620,0,0,14440,4294967295
67000,192.168.85.134,s1,100000000,4305280,10182,2826,2875,0,0,117,4294967295
68000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,18986226,0,14278,0,0,12720,4294967295
68000,192.168.85.134,bb50bfd64c694_l,10000000000,35517370,21591332,0,23499,0,0,14442,4294967295
68000,192.168.85.134,s1,100000000,4305280,10266,2826,2875,0,0,119,4294967295
69000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,19616814,0,14278,0,0,13139,4294967295
69000,192.168.85.134,bb50bfd64c694_l,10000000000,36829786,21591416,0,24367,0,0,14444,4294967295
69000,192.168.85.134,s1,100000000,4305280,10350,2826,2875,0,0,121,4294967295
70000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,20247360,0,14278,0,0,13557,4294967295
70000,192.168.85.134,bb50bfd64c694_l,10000000000,38158834,21591458,0,25246,0,0,14445,4294967295
70000,192.168.85.134,s1,100000000,4305280,10392,2826,2875,0,0,122,4294967295
71000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,20876352,0,14278,0,0,13973,4294967295
71000,192.168.85.134,bb50bfd64c694_l,10000000000,39486370,21591458,0,26124,0,0,14445,4294967295
71000,192.168.85.134,s1,100000000,4305280,10392,2826,2875,0,0,122,4294967295
72000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,21508368,0,14278,0,0,14391,4294967295
72000,192.168.85.134,bb50bfd64c694_l,10000000000,40795762,21591458,0,26990,0,0,14445,4294967295
72000,192.168.85.134,s1,100000000,4305280,10392,2826,2875,0,0,122,4294967295
73000,192.168.85.134,b9eb983466f24_l,10000000000,21575218,22140426,0,14278,0,0,14810,4294967295
73000,192.168.85.134,bb50bfd64c694_l,10000000000,42123298,21591500,0,27868,0,0,14446,4294967295
73000,192.168.85.134,s1,100000000,4305280,10434,2826,2875,0,0,123,4294967295
74000,192.168.85.134,b9eb983466f24_l,10000000000,21576730,22621284,0,14279,0,0,15129,4294967295
74000,192.168.85.134,bb50bfd64c694_l,10000000000,43148434,21593054,0,28546,0,0,14448,4294967295
74000,192.168.85.134,s1,100000000,4305280,10476,2826,2875,0,0,124,4294967295
